ar	arabicLexicon	2794
bg	bulgarianLexicon	2845
cs	czechLexicon	2598
da	danishLexicon	3339
de	germanLexicon	3974
el	greekLexicon	2703
es	spanishLexicon	4275
fa	persianLexicon	2477
fi	finnishLexicon	3295
fr	frenchLexicon	4653
he	hebrewLexicon	2533
hi	hindiLexicon	3640
hr	croatianLexicon	2208
hu	hungarianLexicon	3522
id	indonesianLexicon	2900
it	italianLexicon	4491
ja	japaneseLexicon	867
ko	koreanLexicon	2035
ms	malayLexicon	2934
nl	dutchLexicon	3976
no	norwegianLexicon	3088
pl	polishLexicon	3533
pt	portugueseLexicon	3953
ro	romanianLexicon	3328
ru	russianLexicon	2914
sk	slovakLexicon	2427
sv	swedishLexicon	3721
th	thaiLexicon	1279
tr	turkishLexicon	2500
uk	ukrainianLexicon	2827
vi	vietnameseLexicon	1009
zh	chineseLexicon	1206
